Grouping_sku_name_new,Total_Volume,Normalised_Volume,Avg__No__of_Months_,No__of_States,Average_No__of_POS,Avg_Price,Total_Value,manufacturer,avg_number_of_POS_in_stock
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA INDUSTRIA REFRESQUERA PENINSUL CRISTAL PERSONALES 251 A 350 ML PLASTICO,20,2370,6,1,0,5.99,2200,BEPENSA,0.843881857
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA INDUSTRIA REFRESQUERA PENINSUL CRISTAL PERSONALES 351 A 499ML PLASTICO,20250,1455,6,1,2.745107608,4.808,1396110,BEPENSA,4.254916793
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA INDUSTRIA REFRESQUERA PENINSUL CRISTAL PERSONALES 600 A 699 ML PLASTICO,391950,4026.67,6,1,4.406389666,7.143,28256120,BEPENSA,106.7227577
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA NESTLE PUREZA VITAL PERSONALES 500 A 599 ML PLASTICO,192270,1811.67,6,1,1.481454885,4.405333333,5068760,COMPETITOR,7.925783633
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA NESTLE PUREZA VITAL PERSONALES 600 A 699 ML PLASTICO,240,1150,6,1,7.709604883,6.797638889,20390,COMPETITOR,0.848056537
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA PEPSI-COLA CORP E PURA FAMILIARES 5000 A 5999 ML PLASTICO,280120,3062.5,6,1,1.858591003,17.390625,5533360,COMPETITOR,12.00649788
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA PEPSI-COLA CORP E PURA PERSONALES 1000 A 1499 ML PLASTICO,852910,5283.33,6,1,2.126556313,8.755,43259150,COMPETITOR,45.52957065
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA PEPSI-COLA CORP E PURA PERSONALES 1500 A 1999 ML PLASTICO,434430,5310,6,1,3.110386614,11.90866667,20406980,COMPETITOR,51.63241778
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA PEPSI-COLA CORP E PURA PERSONALES 2000 A 2499 ML PLASTICO,134010,2227.5,6,1,2.132732648,11.3995,3775090,COMPETITOR,10.23711671
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA PEPSI-COLA CORP E PURA PERSONALES 600 A 699 ML PLASTICO,273070,2513.33,6,1,2.305819934,6.681333333,17897420,COMPETITOR,46.64673727
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA PEPSI-COLA CORP E PURITA PERSONALES 251 A 350 ML PLASTICO,2100,320,6,1,1.723662438,4.061388889,145910,COMPETITOR,1.930501931
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA COCA COLA CO. CIEL EXPRIM PERSONALES 1000 A 1499 ML PLASTICO,61890,974.44,6,1,1.462405095,10.39116546,3840290,BEPENSA,21.95070048
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA COCA COLA CO. CIEL EXPRIM PERSONALES 600 A 699 ML PLASTICO,13300,663.33,6,1,1.0945022,8.445776021,1078810,BEPENSA,12.02857918
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA DANONE INTERNACIONAL BONAFONT LEVITE CLASICA PERSONALES 1000 A 1499 ML PLASTICO,306060,882.25,6,1,0.917665843,11.95430382,22734500,COMPETITOR,26.72242934
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA DANONE INTERNACIONAL BONAFONT LEVITE CLASICA PERSONALES 1500 A 1999 ML PLASTICO,265490,4281.33,6,1,0.777757528,15.22545597,15594310,COMPETITOR,22.37608408
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA DANONE INTERNACIONAL BONAFONT LEVITE CLASICA PERSONALES 500 A 599 ML PLASTICO,48970,1387,6,1,0.913078949,8.975079772,5248190,COMPETITOR,19.05595766
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA MEXICANA DE BEBIDAS CACTUS CRISTAL PERSONALES 1500 A 1999 ML PLASTICO,160,1247.5,6,1,10.88435374,17.1275,9010,COMPETITOR,0.761904762
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA MEXICANA DE BEBIDAS CACTUS CRISTAL PERSONALES 500 A 599 ML PLASTICO,400,1398,6,1,16.2999185,8.358333333,42180,COMPETITOR,2.444987775
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA PEPSI-COLA CORP BE LIGHT PERSONALES 1000 A 1499 ML PLASTICO,20900,1526,6,1,1.306056948,9.981816886,1146360,COMPETITOR,8.006129094
AGUA EMBOTELLADA NAT+SAB AGUA SABORIZADA PEPSI-COLA CORP BE LIGHT PERSONALES 500 A 599 ML PLASTICO,17020,190,6,1,1.353699808,9.662154272,2020920,COMPETITOR,15.56754779
AGUA EMBOTELLADA NAT+SAB AGUA VITAMINADA COCA COLA CO. GLACEAU PERSONALES 500 A 599 ML PLASTICO,21880,182.5,6,1,3.084579219,22.63233333,5927470,BEPENSA,25.44777855
